SV name  |  value  |  closest game ID  |  score  |  alternates
Snowflakes [Snowflakes]  |  10.0  |  Snowflake  |  0.947  |  Snowflake2021(0.783)
Snowflakes (Gun) [ChromaSnowflakesGun]  |  25.0  |  Snowflake  |  0.85  |  -
Snowman (Gun) [ChromaSnowmanGun]  |  3.0  |  ???  |  -  |  -
Snowstorm [Snowstorm]  |  260.0  |  ???  |  -  |  -
Soul [Soul]  |  570.0  |  ???  |  -  |  -
Soul Set [SoulSet]  |  1130.0  |  Sunset  |  0.769  |  -
Sparkle Set [SparkleSet]  |  127.0  |  Sparkle1  |  0.778  |  Sparkle2(0.778), Sparkle4(0.778), Sparkle5(0.778)
Sparkle1 [Sparkle1]  |  3.0  |  Sparkle1  |  1.0  |  Sparkle10(0.941), Sparkle2(0.875), Sparkle4(0.875)
Sparkle10 [Sparkle10]  |  20.0  |  Sparkle10  |  1.0  |  Sparkle1(0.941), Sparkle2(0.824), Sparkle4(0.824)
Sparkle2 [Sparkle2]  |  3.0  |  Sparkle2  |  1.0  |  Sparkle1(0.875), Sparkle4(0.875), Sparkle5(0.875)
Sparkle3 [Sparkle3]  |  3.0  |  Sparkle1  |  0.875  |  Sparkle2(0.875), Sparkle4(0.875), Sparkle5(0.875)
Sparkle4 [Sparkle4]  |  10.0  |  Sparkle4  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle5(0.875)
Sparkle5 [Sparkle5]  |  8.0  |  Sparkle5  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle4(0.875)
Sparkle6 [Sparkle6]  |  12.0  |  Sparkle6  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle4(0.875)
Sparkle7 [Sparkle7]  |  18.0  |  Sparkle7  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle4(0.875)
Sparkle8 [Sparkle8]  |  20.0  |  Sparkle8  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle4(0.875)
Sparkle9 [Sparkle9]  |  30.0  |  Sparkle9  |  1.0  |  Sparkle1(0.875), Sparkle2(0.875), Sparkle4(0.875)
Spectral (Gun) [ChromaSpectralGun]  |  3.0  |  ???  |  -  |  -
Spectral (Knife) [ChromaSpectralKnife]  |  60.0  |  ???  |  -  |  -
Spectral Set [SpectralSet]  |  63.0  |  ???  |  -  |  -
Spectre [Spectre]  |  35.0  |  ???  |  -  |  -
Spectre Set [SpectreSet]  |  70.0  |  LastReset  |  0.737  |  -
Spider [Spider]  |  10.0  |  ???  |  -  |  -
Spirit [Spirit]  |  560.0  |  ???  |  -  |  -
Splitter [Splitter]  |  3.0  |  ???  |  -  |  -
Starry [Starry]  |  5.0  |  Starry  |  1.0  |  Starry_K_2026(0.85)
Starry (Gun) [ChromaStarryGun]  |  27.0  |  Starry  |  0.92  |  -
Stars (Knife) [ChromaStarsKnife]  |  2.0  |  ???  |  -  |  -
Steel (Gun) [ChromaSteelGun]  |  8.0  |  ???  |  -  |  -
Sub [Sub]  |  4.0  |  ???  |  -  |  -
Sugar [Sugar]  |  32.0  |  ???  |  -  |  -
Sun [Sun]  |  3.0  |  Sunset  |  0.92  |  DoorsUnlocked(0.85), Sunbeams(0.85), Sunbeams2024(0.85)
Sun Set [SunSet]  |  1750.0  |  Sunset  |  1.0  |  SunsetGun(0.85), SunsetKnife(0.85), Sunrise(0.769)
Sunrise [Sunrise]  |  1125.0  |  Sunrise  |  1.0  |  Sunset(0.769)
Sunrise [SunriseGun]  |  1125.0  |  Sunrise  |  1.0  |  SunsetGun(0.842), Sunset(0.769)
Sunrise [SunriseKnife]  |  1125.0  |  Sunrise  |  1.0  |  SunsetKnife(0.87), Sunset(0.769)
Sunset [Sunset]  |  625.0  |  Sunset  |  1.0  |  SunsetGun(0.85), SunsetKnife(0.85), Sunrise(0.769)
Sunset [SunsetGun]  |  625.0  |  Sunset  |  1.0  |  SunsetGun(1.0), SunsetKnife(0.92), Sunrise(0.769)
Sunset [SunsetKnife]  |  625.0  |  Sunset  |  1.0  |  SunsetKnife(1.0), SunsetGun(0.92), Sunrise(0.769)
Sweater (Knife) [ChromaSweaterKnife]  |  60.0  |  EliteKnife  |  0.727  |  AsteroidKnife(0.72)
Sweet [Sweet]  |  155.0  |  SweetBundleEffect  |  0.85  |  SweetEffect26(0.85)
Sweet Set [SweetSet]  |  315.0  |  ???  |  -  |  -
Swirl [Swirl]  |  27.0  |  ???  |  -  |  -
Swirly Axe [SwirlyAxe]  |  38.0  |  ???  |  -  |  -
Swirly Blade [SwirlyBlade]  |  12.0  |  ???  |  -  |  -
Swirly Gun [SwirlyGun]  |  18.0  |  ???  |  -  |  -
Swirly Set [SwirlySet]  |  56.0  |  ???  |  -  |  -
Tailslide [Tailslide]  |  8.0  |  ???  |  -  |  -
Tides [Tides]  |  10.0  |  ???  |  -  |  -
Toxic (Gun) [ChromaToxicGun]  |  2.0  |  ???  |  -  |  -
Toxic (Knife) [ChromaToxicKnife]  |  7.0  |  XboxKnife  |  0.737  |  -
Toxic Set [ToxicSet]  |  9.0  |  ???  |  -  |  -
Traveler (Gun) [ChromaTravelerGun]  |  60.0  |  TravelerGun  |  1.0  |  Traveler's Gun(0.957), TravelerAxe(0.92)
Traveler (Knife) [ChromaTravelerKnife]  |  3.0  |  TravelerAxe  |  0.92  |  TravelerGun(0.92), Traveler's Axe(0.72), Traveler's Gun(0.72)
Traveler Set [TravelerSet]  |  63.0  |  TravelerAxe  |  0.92  |  TravelerGun(0.92), Traveler's Axe(0.87), Traveler's Gun(0.783)
Traveler's Axe [TravelersAxe]  |  8100.0  |  Traveler's Axe  |  1.0  |  TravelerAxe(0.957), Traveler's Gun(0.92)
Traveler's Axe [TravelerAxe]  |  8100.0  |  Traveler's Axe  |  1.0  |  TravelerAxe(1.0), Traveler's Gun(0.92), TravelerGun(0.92)
Traveler's Gun [TravelersGun]  |  5400.0  |  Traveler's Gun  |  1.0  |  TravelerGun(0.957), Traveler's Axe(0.92)
Traveler's Gun [TravelerGun]  |  5400.0  |  Traveler's Gun  |  1.0  |  TravelerGun(1.0), Traveler's Axe(0.92), TravelerAxe(0.92)
Traveler's Set [TravelersSet]  |  13500.0  |  Traveler's Axe  |  0.92  |  Traveler's Gun(0.92), TravelerAxe(0.783)
Treat [Treat]  |  160.0  |  Treats  |  0.909  |  Treats2025(0.85)
Tree (2021) [Tree2021]  |  2.0  |  ???  |  -  |  -
Turkey [Turkey]  |  2450.0  |  ???  |  -  |  -
Vampire [Vampire]  |  1.0  |  Vampire  |  1.0  |  VampireRadio2024(0.85), Vampiric(0.8)
Vampire (Gun) [ChromaVampireGun]  |  55.0  |  Vampire  |  0.92  |  -
Vampire (Knife) [ChromaVampireKnife]  |  3.0  |  Vampire  |  0.92  |  -
Vampire Set (Legend.) [VampireSetLegend]  |  58.0  |  Vampire  |  0.85  |  -
Vampire Set (Rare) [VampireSetRare]  |  4.0  |  Vampire  |  0.85  |  -
Vampire's Axe [VampiresAxe]  |  1225.0  |  Vampire  |  0.85  |  -
Vampire's Edge [VampiresEdge]  |  15.0  |  Vampire  |  0.85  |  -
Vampire's Gun [VampireGun]  |  1875.0  |  Vampire  |  0.92  |  -
Vampire's Set [VampiresSet]  |  3100.0  |  Vampire  |  0.85  |  -
Vintage Set [VintageSet]  |  59.0  |  ???  |  -  |  -
Virtual [Virtual]  |  13.0  |  ???  |  -  |  -
Virtual Set [VirtualSet]  |  30.0  |  ???  |  -  |  -
Void [Void]  |  12.0  |  Void  |  1.0  |  VoidRbxEffect(0.85)
Watcher (Gun) [ChromaWatcherGun]  |  25.0  |  ???  |  -  |  -
Watergun [Watergun]  |  250.0  |  ???  |  -  |  -
Waves [Waves]  |  275.0  |  Leaves  |  0.727  |  -
Webbed (Gun) [ChromaWebbedGun]  |  25.0  |  ???  |  -  |  -
Webs [Webs]  |  3.0  |  ???  |  -  |  -
Winter's Edge [WintersEdge]  |  5.0  |  ???  |  -  |  -
Witched [Witched]  |  3.0  |  ???  |  -  |  -
Wolf [Wolf]  |  1.0  |  ???  |  -  |  -
Wraith (Knife) [ChromaWraithKnife]  |  3.0  |  ???  |  -  |  -
Wrap (Gun) [ChromaWrapGun]  |  5.0  |  ???  |  -  |  -
Wrap (Knife) [ChromaWrapKnife]  |  5.0  |  ???  |  -  |  -
Wrap Set [WrapSet]  |  10.0  |  ???  |  -  |  -
Wrapped (Gun) [ChromaWrappedGun]  |  25.0  |  ???  |  -  |  -
Wrapping Paper Set [WrappingPaperSet]  |  14.0  |  ???  |  -  |  -
Xeno Set [XenoSet]  |  540.0  |  Xeno  |  0.92  |  -
Xenoknife [Xenoknife]  |  270.0  |  Xeno  |  0.92  |  XboxKnife(0.778)
Xenoshot [Xenoshot]  |  270.0  |  Xeno  |  0.85  |  -
Xmas [Xmas]  |  7.0  |  ???  |  -  |  -
Yellow Seer [YellowSeer]  |  2.0  |  ???  |  -  |  -
Zombie [Zombie]  |  7.0  |  ???  |  -  |  -
Zombie (2023) [Zombie2023]  |  3.0  |  ???  |  -  |  -
Zombie (Gun) [ChromaZombieGun]  |  5.0  |  ???  |  -  |  -
Zombie (Knife) [ChromaZombieKnife]  |  1.0  |  ???  |  -  |  -
Zombie Set [ZombieSet]  |  6.0  |  ???  |  -  |  -
Zombified [Zombified]  |  40.0  |  ???  |  -  |  -
Zombified (Gun) [ChromaZombifiedGun]  |  15.0  |  ???  |  -  |  -
Zombified (Knife) [ChromaZombifiedKnife]  |  115.0  |  ???  |  -  |  -
Zombified Set [ZombifiedSet]  |  130.0  |  ???  |  -  |  -

Known corrections to apply:
  SunsetGun  -> Sunrise value (svId Sunrise)
  SunsetKnife -> Sunset value (svId Sunset)

Game IDs considered: 371 (Owned keys: 50)
